listingId,name,price,numBeds,numBath,squareFootage,homeType,location,sellerName,sellerAgency
R2327794,206-522 W 8th Avenue,799000,1,2,838,Apt/Condo,Fairview,Lee and Pete Vancouver Real Estate Group,Oakwyn Realty Ltd.
R2327727,4492 Crown Street,5368000,5,5,4460,House,Dunbar,Clarence Lowe,Dexter Realty
R2327719,1011 W Cordova Street,29998000,4,5,6652,Apt/Condo,Coal Harbour,Malcolm Hasman,Angell Hasman (Malcolm Hasman)
R2327389,5917 Battison Street,2348000,7,4,3600,House,Killarney,Benson Lee,Nu Stream Realty Inc.
R2327618,1804-1211 Melville Street,1488000,2,2,921,Apt/Condo,Coal Harbour,Henry Wu,LeHomes Realty Premier
R2327643,7050 Hudson Street,5388000,4,3,3464,House,South Granville,Vivian Li,Sutton Group-West Coast Realty
R2327626,1578 E 22nd Avenue,998000,2,1,1661,House,Knight,Shelly Smee,Oakwyn Realty Ltd.
R2327562,832 W 19th Avenue,3088000,5,5,2575,House,Cambie,Susan Ninow,Royal LePage Westside
R2327521,309-588 W 45th Avenue,1299000,3,2,1198,Apt/Condo,Oakridge,Morning Li,Royal Pacific Realty Corp.
R2327526,107-2858 W 4th Avenue,499900,0,1,435,Apt/Condo,Kitsilano,Ken Cui,Nu Stream Realty Inc.
R2327531,508-2477 Carolina Street,579000,1,1,572,Apt/Condo,Mount Pleasant East,Lee and Pete Vancouver Real Estate Group,Oakwyn Realty Ltd.
R2327300,T19-550 Taylor Street,848000,1,1,791,Townhouse,Downtown West,Joe Zhou,HomeLife Benchmark Titus Realty
R2327499,1106-550 Taylor Street,595000,1,1,567,Apt/Condo,Downtown West,Gary Serra,RE/MAX Crest Realty Westside
R2327472,5229 Elgin Street,1698000,4,3,2320,House,Fraser East,Patrick Weeks,RE/MAX Select Properties
R2327498,305-55 Alexander Street,595000,1,1,625,Apt/Condo,Downtown East,Gary Serra,RE/MAX Crest Realty Westside
